,GB Indices,mixed,tilt,twist,count,max_theta,min_theta,h1,k1,l1,h2,k2,l2,ni1,al,au1,mishin cu,cos_min_theta,sin_min_theta,tan_min_theta,dot_hkl
0,1,5.0,7.0,1.0,13,180.0,36.8699,3.0,1.0,0.0,3.0,1.0,0.0,1.217936772,0.462648384,0.458018055,0.901840707,0.675457156116,-0.737399233965,-1.09170393309,0.1
1,2,4.0,2.0,4.0,10,180.0,36.8699,2.0,0.0,0.0,2.0,0.0,0.0,0.957917357,0.324411431,0.364177787,0.728900319,0.675457156116,-0.737399233965,-1.09170393309,0.25
2,3,2.0,3.0,2.0,7,180.0,60.0,2.0,2.0,2.0,2.0,2.0,2.0,0.063606943,0.058111431,0.024481463,0.022254419,-0.952412980415,-0.304810621102,0.32004038938,0.0833333333333
3,4,5.0,6.0,1.0,12,180.0,60.0,2.0,1.0,1.0,2.0,1.0,1.0,0.878881325,0.324459497,0.316464569,0.590342927,-0.952412980415,-0.304810621102,0.32004038938,0.166666666667
4,5,5.0,3.0,2.0,10,180.0,60.0,1.0,1.0,0.0,1.0,1.0,0.0,1.004973678,0.307267998,0.359162932,0.686298087,-0.952412980415,-0.304810621102,0.32004038938,0.5
5,6,5.0,7.0,1.0,13,180.0,36.8699,4.0,2.0,0.0,4.0,2.0,0.0,1.284571854,0.446370134,0.480160321,0.948047867,0.675457156116,-0.737399233965,-1.09170393309,0.05
6,7,5.0,7.0,1.0,13,180.0,22.6199,5.0,1.0,0.0,5.0,1.0,0.0,1.200553011,0.477292401,0.457713639,0.871383075,-0.80876246978,-0.588135415934,0.727204139547,0.0384615384615
7,8,4.0,2.0,4.0,10,180.0,22.6199,2.0,0.0,0.0,2.0,0.0,0.0,0.884312749,0.332614644,0.32684676,0.64888695,-0.80876246978,-0.588135415934,0.727204139547,0.25
8,9,7.0,9.0,1.0,17,180.0,48.1897,5.0,2.0,1.0,5.0,2.0,1.0,1.144316142,0.40214969,0.425349401,0.850682781,-0.483795302169,-0.875181184441,1.80899066303,0.0333333333333
9,10,10.0,3.0,0.0,13,180.0,36.8699,5.0,2.0,1.0,5.0,2.0,1.0,0.977848601,0.313676758,0.358057421,0.718982763,0.675457156116,-0.737399233965,-1.09170393309,0.0333333333333
10,11,7.0,3.0,0.0,10,180.0,60.0,5.0,2.0,1.0,5.0,2.0,1.0,0.809378322,0.327295373,0.292303544,0.551217448,-0.952412980415,-0.304810621102,0.32004038938,0.0333333333333
11,12,13.0,3.0,1.0,17,180.0,48.1897,4.0,2.0,0.0,4.0,2.0,0.0,1.298238535,0.457136851,0.473286926,0.942936881,-0.483795302169,-0.875181184441,1.80899066303,0.05
12,13,7.0,1.0,1.0,9,180.0,60.0,4.0,2.0,0.0,4.0,2.0,0.0,0.692450496,0.281536827,0.250101859,0.466733969,-0.952412980415,-0.304810621102,0.32004038938,0.05
13,14,13.0,3.0,1.0,17,180.0,48.1897,2.0,1.0,1.0,2.0,1.0,1.0,1.264961049,0.474055977,0.463834005,0.916933337,-0.483795302169,-0.875181184441,1.80899066303,0.166666666667
14,15,10.0,1.0,1.0,12,180.0,36.8699,2.0,1.0,1.0,2.0,1.0,1.0,1.282505029,0.43318411,0.462231815,0.930391733,0.675457156116,-0.737399233965,-1.09170393309,0.166666666667
15,16,5.0,7.0,1.0,13,180.0,28.0725,5.0,3.0,0.0,5.0,3.0,0.0,1.180109066,0.458642909,0.438727688,0.853775007,-0.979700593832,0.200466322471,-0.204619986691,0.0294117647059
16,17,4.0,2.0,4.0,10,180.0,28.0725,2.0,0.0,0.0,2.0,0.0,0.0,0.93795407,0.339087492,0.350366909,0.700028855,-0.979700593832,0.200466322471,-0.204619986691,0.25
17,18,7.0,3.0,0.0,10,180.0,60.0,4.0,4.0,2.0,2.0,0.0,0.0,0.809923067,0.324603694,0.303102304,0.572606684,-0.952412980415,-0.304810621102,0.32004038938,0.0555555555556
18,19,5.0,6.0,1.0,12,180.0,38.9424,4.0,4.0,2.0,4.0,4.0,2.0,1.159585013,0.426422869,0.415479911,0.831264238,0.321684647995,0.946846865784,2.94340084827,0.0277777777778
19,20,7.0,3.0,0.0,10,180.0,60.0,4.0,1.0,1.0,1.0,1.0,0.0,0.615369135,0.255581349,0.231452367,0.425285314,-0.952412980415,-0.304810621102,0.32004038938,0.138888888889
20,21,5.0,6.0,1.0,12,180.0,38.9424,4.0,1.0,1.0,4.0,1.0,1.0,0.89469494,0.306787341,0.330083184,0.61743596,0.321684647995,0.946846865784,2.94340084827,0.0555555555556
21,22,5.0,1.0,1.0,7,180.0,38.9424,4.0,4.0,2.0,4.0,4.0,2.0,1.154009391,0.46590083,0.428169256,0.822404127,0.321684647995,0.946846865784,2.94340084827,0.0277777777778
22,23,12.0,2.0,0.0,14,180.0,38.9424,4.0,1.0,1.0,1.0,1.0,0.0,1.233638234,0.483012219,0.447475645,0.880643734,0.321684647995,0.946846865784,2.94340084827,0.138888888889
23,24,8.0,2.0,2.0,12,180.0,38.9424,1.0,1.0,0.0,1.0,1.0,0.0,1.327798941,0.525117773,0.473847693,0.902577715,0.321684647995,0.946846865784,2.94340084827,0.5
24,25,7.0,9.0,1.0,17,180.0,21.7868,5.0,4.0,1.0,5.0,4.0,1.0,1.075053468,0.441163017,0.400467391,0.772864412,-0.979193385487,0.202929332082,-0.207241322388,0.0238095238095
25,26,7.0,4.0,0.0,11,180.0,38.2132,5.0,4.0,1.0,5.0,4.0,1.0,1.204910968,0.473062619,0.426999657,0.854816431,0.870741474923,0.491741073991,0.564738315738,0.0238095238095
26,27,5.0,2.0,0.0,7,180.0,60.0,5.0,4.0,1.0,5.0,4.0,1.0,1.000070976,0.381817899,0.356471253,0.67452199,-0.952412980415,-0.304810621102,0.32004038938,0.0238095238095
27,28,7.0,9.0,1.0,17,180.0,38.2132,3.0,2.0,1.0,3.0,2.0,1.0,1.186918374,0.43933652,0.42685546,0.864349461,0.870741474923,0.491741073991,0.564738315738,0.0714285714286
28,29,7.0,4.0,0.0,11,180.0,21.7868,3.0,2.0,1.0,3.0,2.0,1.0,1.160257932,0.444848054,0.428617869,0.835429932,-0.979193385487,0.202929332082,-0.207241322388,0.0714285714286
29,30,5.0,2.0,0.0,7,180.0,60.0,3.0,2.0,1.0,3.0,2.0,1.0,0.977864623,0.37550527,0.348668588,0.652251549,-0.952412980415,-0.304810621102,0.32004038938,0.0714285714286
30,31,6.0,1.0,3.0,10,180.0,21.7868,2.0,2.0,2.0,2.0,2.0,2.0,0.489020432,0.270353541,0.173100608,0.327599789,-0.979193385487,0.202929332082,-0.207241322388,0.0833333333333
31,32,6.0,1.0,3.0,10,180.0,38.2132,2.0,2.0,2.0,2.0,2.0,2.0,0.489164629,0.270161278,0.173132651,0.327551724,0.870741474923,0.491741073991,0.564738315738,0.0833333333333
32,33,5.0,6.0,1.0,12,180.0,50.4788,6.0,2.0,2.0,6.0,2.0,2.0,0.423843343,0.128896186,0.155957175,0.308854166,0.97733395926,0.211703405919,0.216613168829,0.0227272727273
33,34,5.0,6.0,1.0,12,180.0,50.4788,3.0,3.0,2.0,3.0,3.0,2.0,0.979691119,0.360861254,0.359723699,0.700253161,0.97733395926,0.211703405919,0.216613168829,0.0454545454545
34,35,8.0,2.0,2.0,12,180.0,50.4788,1.0,1.0,0.0,1.0,1.0,0.0,1.241921557,0.494307659,0.455598748,0.877375266,0.97733395926,0.211703405919,0.216613168829,0.5
35,36,5.0,7.0,1.0,13,180.0,16.2602,7.0,1.0,0.0,7.0,1.0,0.0,1.098637705,0.449302142,0.426727285,0.781836676,-0.85135327918,-0.52459278877,0.616186959748,0.02
36,37,6.0,4.0,0.0,10,180.0,36.8699,7.0,1.0,0.0,1.0,1.0,0.0,1.306425726,0.50983288,0.476250978,0.941783304,0.675457156116,-0.737399233965,-1.09170393309,0.08
37,38,17.0,1.0,0.0,18,180.0,48.1897,7.0,1.0,0.0,4.0,1.0,1.0,1.364825552,0.500508134,0.499658973,0.992732946,-0.483795302169,-0.875181184441,1.80899066303,0.0322222222222
38,39,4.0,2.0,4.0,10,180.0,16.2602,2.0,0.0,0.0,2.0,0.0,0.0,0.801751898,0.313740846,0.29345712,0.57045975,-0.85135327918,-0.52459278877,0.616186959748,0.25
39,40,5.0,7.0,1.0,13,180.0,22.6199,6.0,4.0,0.0,6.0,4.0,0.0,1.091075368,0.421472101,0.413909765,0.787220035,-0.80876246978,-0.588135415934,0.727204139547,0.0192307692308
40,41,5.0,7.0,1.0,13,180.0,43.6028,7.0,3.0,0.0,7.0,3.0,0.0,1.345182702,0.4906066,0.50316777,0.984978346,0.928851035421,-0.370453443764,-0.398829768862,0.0172413793103
41,42,4.0,2.0,4.0,10,180.0,43.6028,2.0,0.0,0.0,2.0,0.0,0.0,0.982302689,0.33806209,0.374576,0.744361452,0.928851035421,-0.370453443764,-0.398829768862,0.25
42,43,7.0,9.0,1.0,17,180.0,33.5573,7.0,4.0,1.0,7.0,4.0,1.0,1.179179796,0.472597984,0.441835936,0.853230263,-0.540117851296,0.841589393179,-1.55815881878,0.0151515151515
43,44,11.0,3.0,0.0,14,180.0,50.4788,7.0,4.0,1.0,7.0,4.0,1.0,1.252303748,0.472453787,0.459027435,0.901328006,0.97733395926,0.211703405919,0.216613168829,0.0151515151515
44,45,7.0,2.0,0.0,9,180.0,60.0,7.0,4.0,1.0,7.0,4.0,1.0,0.602968185,0.247522333,0.217721599,0.402101624,-0.952412980415,-0.304810621102,0.32004038938,0.0151515151515
45,46,13.0,3.0,1.0,17,180.0,33.5573,6.0,2.0,2.0,6.0,2.0,2.0,1.133437272,0.433168088,0.415495933,0.806189964,-0.540117851296,0.841589393179,-1.55815881878,0.0227272727273
46,47,7.0,1.0,1.0,9,180.0,60.0,6.0,2.0,2.0,6.0,2.0,2.0,0.87420293,0.353699464,0.315599386,0.597969352,-0.952412980415,-0.304810621102,0.32004038938,0.0227272727273
47,48,14.0,2.0,1.0,17,180.0,33.5573,2.0,1.0,1.0,2.0,1.0,1.0,1.37493537,0.514575362,0.496646856,0.994943968,-0.540117851296,0.841589393179,-1.55815881878,0.166666666667
48,49,11.0,1.0,1.0,13,180.0,50.4788,2.0,1.0,1.0,2.0,1.0,1.0,1.179756585,0.454909807,0.431838271,0.840188436,0.97733395926,0.211703405919,0.216613168829,0.166666666667
49,50,5.0,6.0,1.0,12,180.0,61.9275,6.0,4.0,4.0,6.0,4.0,4.0,0.919352644,0.330900301,0.332598622,0.631358991,0.618194211255,-0.786025392192,-1.27148617357,0.0147058823529
50,51,5.0,6.0,1.0,12,180.0,61.9275,4.0,3.0,3.0,4.0,3.0,3.0,0.848583912,0.3143657,0.316833073,0.592618037,0.618194211255,-0.786025392192,-1.27148617357,0.0294117647059
51,52,5.0,7.0,1.0,13,180.0,28.0725,8.0,2.0,0.0,8.0,2.0,0.0,1.240912177,0.481474117,0.46724667,0.911614066,-0.979700593832,0.200466322471,-0.204619986691,0.0147058823529
52,53,8.0,2.0,2.0,12,180.0,61.9275,1.0,1.0,0.0,1.0,1.0,0.0,0.910412424,0.348091799,0.332454425,0.641693117,0.618194211255,-0.786025392192,-1.27148617357,0.5
53,54,7.0,9.0,1.0,17,180.0,43.2332,6.0,5.0,3.0,6.0,5.0,3.0,1.262669917,0.475898496,0.456351778,0.908906365,0.732303987956,-0.680977877191,-0.929911468995,0.0142857142857
54,55,10.0,2.0,0.0,12,180.0,36.8699,6.0,5.0,3.0,6.0,5.0,3.0,1.178554942,0.414646772,0.419757758,0.854127489,0.675457156116,-0.737399233965,-1.09170393309,0.0142857142857
55,56,10.0,3.0,0.0,13,180.0,38.2132,6.0,5.0,3.0,6.0,5.0,3.0,0.681908086,0.306835407,0.239976018,0.469233385,0.870741474923,0.491741073991,0.564738315738,0.0142857142857
56,57,14.0,2.0,1.0,17,180.0,43.2332,4.0,2.0,0.0,4.0,2.0,0.0,0.954680933,0.400130931,0.341650996,0.645282023,0.732303987956,-0.680977877191,-0.929911468995,0.05
57,58,10.0,1.0,1.0,12,180.0,38.2132,4.0,2.0,0.0,4.0,2.0,0.0,1.196948083,0.466061049,0.427800752,0.862154461,0.870741474923,0.491741073991,0.564738315738,0.05
58,59,14.0,3.0,0.0,17,180.0,43.2332,3.0,2.0,1.0,3.0,2.0,1.0,1.254306485,0.478734372,0.453243529,0.890849684,0.732303987956,-0.680977877191,-0.929911468995,0.0714285714286
59,60,10.0,1.0,0.0,11,180.0,36.8699,3.0,2.0,1.0,3.0,2.0,1.0,1.064879562,0.364994904,0.393529908,0.779481457,0.675457156116,-0.737399233965,-1.09170393309,0.0714285714286
60,61,5.0,7.0,1.0,13,180.0,18.9246,7.0,5.0,0.0,7.0,5.0,0.0,1.019104993,0.40703637,0.387938265,0.729509151,0.997185514357,0.0749736617486,0.0751852696105,0.0135135135135
61,62,4.0,2.0,4.0,10,180.0,18.9246,2.0,0.0,0.0,2.0,0.0,0.0,0.843569057,0.324395409,0.310456356,0.60950512,0.997185514357,0.0749736617486,0.0751852696105,0.25
62,63,5.0,6.0,1.0,12,180.0,26.5254,6.0,6.0,2.0,6.0,6.0,2.0,1.138884718,0.419485386,0.414470531,0.805757373,0.177196909724,0.984175418909,5.55413421398,0.0131578947368
63,64,5.0,6.0,1.0,12,180.0,26.5254,6.0,1.0,1.0,6.0,1.0,1.0,0.994255026,0.347226617,0.37979914,0.712109367,0.177196909724,0.984175418909,5.55413421398,0.0263157894737
64,65,8.0,2.0,2.0,12,180.0,26.5254,1.0,1.0,0.0,1.0,1.0,0.0,1.300353426,0.516321749,0.457665574,0.922749287,0.177196909724,0.984175418909,5.55413421398,0.5
65,66,7.0,9.0,1.0,17,180.0,32.2042,7.0,5.0,2.0,7.0,5.0,2.0,1.217343962,0.44388674,0.444607725,0.885963004,0.705070716413,0.709137000062,1.00576719974,0.0128205128205
66,67,7.0,4.0,0.0,11,180.0,27.7958,7.0,5.0,2.0,7.0,5.0,2.0,1.229023927,0.465708567,0.446322068,0.889327603,-0.887670991858,0.460478240761,-0.518748776275,0.0128205128205
67,68,5.0,2.0,0.0,7,180.0,60.0,7.0,5.0,2.0,7.0,5.0,2.0,0.988374989,0.383612352,0.352161362,0.661239835,-0.952412980415,-0.304810621102,0.32004038938,0.0128205128205
68,69,7.0,9.0,1.0,17,180.0,27.7958,4.0,3.0,1.0,4.0,3.0,1.0,1.1574541,0.448549112,0.423250532,0.839098947,-0.887670991858,0.460478240761,-0.518748776275,0.0384615384615
69,70,7.0,4.0,0.0,11,180.0,32.2042,4.0,3.0,1.0,4.0,3.0,1.0,1.232644877,0.447411558,0.437958637,0.884168552,0.705070716413,0.709137000062,1.00576719974,0.0384615384615
70,71,5.0,2.0,0.0,7,180.0,60.0,4.0,3.0,1.0,4.0,3.0,1.0,0.994271048,0.378100818,0.354244209,0.667280091,-0.952412980415,-0.304810621102,0.32004038938,0.0384615384615
71,72,6.0,1.0,3.0,10,180.0,32.2042,2.0,2.0,2.0,2.0,2.0,2.0,0.498040762,0.282706426,0.176673491,0.333672089,0.705070716413,0.709137000062,1.00576719974,0.0833333333333
72,73,6.0,1.0,3.0,10,180.0,27.7958,2.0,2.0,2.0,2.0,2.0,2.0,0.497864521,0.282097593,0.176529294,0.333399717,-0.887670991858,0.460478240761,-0.518748776275,0.0833333333333
73,74,5.0,7.0,1.0,13,180.0,12.6804,9.0,1.0,0.0,9.0,1.0,0.0,1.00103229,0.419245057,0.390694032,0.709129294,0.993505691145,0.113782431252,0.114526199765,0.0121951219512
74,75,4.0,2.0,4.0,10,180.0,12.6804,2.0,0.0,0.0,2.0,0.0,0.0,0.731287582,0.291774821,0.26562708,0.508631237,0.993505691145,0.113782431252,0.114526199765,0.25
75,76,7.0,9.0,1.0,17,180.0,44.4153,8.0,4.0,2.0,8.0,4.0,2.0,1.085499747,0.395292317,0.409263414,0.785185253,0.907709853057,0.419598406412,0.462260495465,0.0119047619048
76,77,10.0,3.0,0.0,13,180.0,38.2132,8.0,4.0,2.0,8.0,4.0,2.0,0.824390843,0.344438806,0.289772083,0.571244823,0.870741474923,0.491741073991,0.564738315738,0.0119047619048
77,78,7.0,2.0,0.0,9,180.0,60.0,8.0,4.0,2.0,8.0,4.0,2.0,0.934765712,0.378757716,0.337260995,0.641036219,-0.952412980415,-0.304810621102,0.32004038938,0.0119047619048
78,79,14.0,3.0,0.0,17,180.0,44.4153,3.0,2.0,1.0,3.0,2.0,1.0,1.238797286,0.439608892,0.443918783,0.896873918,0.907709853057,0.419598406412,0.462260495465,0.0714285714286
79,80,2.0,1.0,0.0,3,180.0,60.0,3.0,2.0,1.0,3.0,2.0,1.0,0.473431123,0.205016232,0.17278017,0.313676758,-0.952412980415,-0.304810621102,0.32004038938,0.0714285714286
80,81,14.0,2.0,1.0,17,180.0,44.4153,2.0,1.0,1.0,2.0,1.0,1.0,1.101745954,0.442572944,0.410977757,0.779865983,0.907709853057,0.419598406412,0.462260495465,0.166666666667
81,82,10.0,1.0,1.0,12,180.0,38.2132,2.0,1.0,1.0,2.0,1.0,1.0,1.096715077,0.400467391,0.385951549,0.784992991,0.870741474923,0.491741073991,0.564738315738,0.166666666667
82,83,16.0,4.0,0.0,20,180.0,48.1897,7.0,5.0,4.0,3.0,1.0,0.0,1.279524956,0.48099346,0.466429553,0.923886842,-0.483795302169,-0.875181184441,1.80899066303,0.0288888888889
83,84,7.0,1.0,0.0,8,180.0,60.0,7.0,5.0,4.0,3.0,1.0,0.0,0.941350713,0.380119578,0.341090229,0.646932278,-0.952412980415,-0.304810621102,0.32004038938,0.0288888888889
84,85,7.0,9.0,1.0,17,180.0,53.1301,7.0,5.0,4.0,7.0,5.0,4.0,1.125730738,0.420206371,0.404152428,0.804491643,-0.961886985387,0.273447302679,-0.284282152512,0.0111111111111
85,86,15.0,2.0,0.0,17,180.0,28.6246,7.0,5.0,4.0,7.0,5.0,4.0,1.108523217,0.452442434,0.417722977,0.793965255,-0.939281428413,-0.343147779009,0.365330100893,0.0111111111111
86,87,11.0,1.0,0.0,12,180.0,38.9424,7.0,5.0,4.0,7.0,5.0,4.0,1.156300523,0.47011459,0.420574875,0.810820293,0.321684647995,0.946846865784,2.94340084827,0.0111111111111
87,88,16.0,4.0,0.0,20,180.0,48.1897,8.0,5.0,1.0,3.0,1.0,0.0,1.217392028,0.460197034,0.446065718,0.878753149,-0.483795302169,-0.875181184441,1.80899066303,0.0322222222222
88,89,7.0,1.0,0.0,8,180.0,60.0,8.0,5.0,1.0,3.0,1.0,0.0,0.735212947,0.298455953,0.266171825,0.498393243,-0.952412980415,-0.304810621102,0.32004038938,0.0322222222222
89,90,12.0,1.0,0.0,13,180.0,38.9424,8.0,5.0,1.0,7.0,5.0,4.0,1.244613236,0.488011052,0.458130209,0.893813735,0.321684647995,0.946846865784,2.94340084827,0.0104938271605
90,91,16.0,2.0,0.0,18,180.0,36.8699,8.0,5.0,1.0,7.0,5.0,4.0,1.273596853,0.479775796,0.460373275,0.909579285,0.675457156116,-0.737399233965,-1.09170393309,0.0104938271605
91,92,10.0,2.0,0.0,12,180.0,36.8699,8.0,5.0,1.0,7.0,5.0,4.0,1.153176253,0.433488526,0.418620203,0.835429932,0.675457156116,-0.737399233965,-1.09170393309,0.0104938271605
92,93,0.0,3.0,0.0,3,160.812,67.1146,8.0,5.0,1.0,7.0,5.0,4.0,1.155980085,0.451096595,0.425461555,0.829437741,-0.416545413422,-0.909114909435,2.18251091031,0.0104938271605
93,94,7.0,9.0,1.0,17,180.0,28.6246,8.0,5.0,1.0,8.0,5.0,1.0,1.132812418,0.474071999,0.42550962,0.816716353,-0.939281428413,-0.343147779009,0.365330100893,0.0111111111111
94,95,15.0,2.0,0.0,17,180.0,53.1301,8.0,5.0,1.0,8.0,5.0,1.0,1.033444594,0.400355237,0.373198117,0.723212544,-0.961886985387,0.273447302679,-0.284282152512,0.0111111111111
95,96,11.0,1.0,0.0,12,180.0,38.9424,8.0,5.0,1.0,8.0,5.0,1.0,1.150901143,0.430957066,0.421744474,0.815226316,0.321684647995,0.946846865784,2.94340084827,0.0111111111111
96,97,16.0,1.0,0.0,17,180.0,48.1897,4.0,4.0,2.0,2.0,0.0,0.0,1.234182979,0.445633127,0.450696047,0.893028662,-0.483795302169,-0.875181184441,1.80899066303,0.0555555555556
97,98,15.0,1.0,1.0,17,180.0,28.6246,4.0,4.0,2.0,4.0,4.0,2.0,1.251102105,0.454637434,0.450936376,0.899453444,-0.939281428413,-0.343147779009,0.365330100893,0.0277777777778
98,99,15.0,1.0,1.0,17,180.0,53.1301,4.0,4.0,2.0,4.0,4.0,2.0,1.106296173,0.440810535,0.413316954,0.786547115,-0.961886985387,0.273447302679,-0.284282152512,0.0277777777778
99,100,13.0,3.0,1.0,17,180.0,36.8699,4.0,4.0,2.0,4.0,4.0,2.0,1.142201251,0.467006341,0.42365108,0.812198177,0.675457156116,-0.737399233965,-1.09170393309,0.0277777777778
100,101,10.0,1.0,1.0,12,180.0,36.8699,4.0,4.0,2.0,4.0,4.0,2.0,1.162372823,0.400435347,0.420687028,0.842143108,0.675457156116,-0.737399233965,-1.09170393309,0.0277777777778
101,102,6.0,4.0,0.0,10,180.0,36.8699,8.0,6.0,0.0,2.0,0.0,0.0,1.276753167,0.512684778,0.468736706,0.920602352,0.675457156116,-0.737399233965,-1.09170393309,0.04
102,103,5.0,7.0,1.0,13,180.0,16.2602,8.0,6.0,0.0,8.0,6.0,0.0,0.9392198,0.381785855,0.362543553,0.672086661,-0.85135327918,-0.52459278877,0.616186959748,0.01
103,104,16.0,1.0,0.0,17,180.0,51.6839,8.0,6.0,0.0,2.0,0.0,0.0,1.242482323,0.46817594,0.4524905,0.890609355,0.151789780498,0.988412799662,6.51172164832,0.04
104,105,15.0,1.0,1.0,17,180.0,51.6839,8.0,6.0,0.0,8.0,6.0,0.0,0.997635647,0.388851513,0.35475691,0.701855351,0.151789780498,0.988412799662,6.51172164832,0.01
105,106,17.0,1.0,0.0,18,180.0,51.6839,7.0,1.0,0.0,5.0,4.0,3.0,1.238252542,0.476891854,0.45763353,0.89216348,0.151789780498,0.988412799662,6.51172164832,0.0156
106,108,10.0,4.0,0.0,14,180.0,36.8699,5.0,4.0,3.0,1.0,1.0,0.0,1.044243354,0.368920269,0.377331767,0.757403279,0.675457156116,-0.737399233965,-1.09170393309,0.09
107,109,7.0,9.0,1.0,17,180.0,51.6839,5.0,4.0,3.0,5.0,4.0,3.0,1.09597807,0.413477173,0.393722171,0.786098502,0.151789780498,0.988412799662,6.51172164832,0.02
108,110,10.0,1.0,0.0,11,180.0,16.2602,5.0,4.0,3.0,5.0,4.0,3.0,0.915619541,0.357400523,0.344743222,0.648774797,-0.85135327918,-0.52459278877,0.616186959748,0.02
109,111,8.0,2.0,0.0,10,180.0,51.6839,5.0,4.0,3.0,5.0,4.0,3.0,1.097948763,0.426086409,0.397150857,0.772720215,0.151789780498,0.988412799662,6.51172164832,0.02
110,112,5.0,7.0,1.0,13,180.0,31.8908,9.0,5.0,0.0,9.0,5.0,0.0,1.25544404,0.479743752,0.469201342,0.913600782,0.889350584235,0.457225916065,0.514112122002,0.00943396226415
111,113,4.0,2.0,4.0,10,180.0,31.8908,2.0,0.0,0.0,2.0,0.0,0.0,0.96232338,0.344647091,0.361966765,0.723356741,0.889350584235,0.457225916065,0.514112122002,0.25
112,114,5.0,6.0,1.0,12,180.0,31.5863,10.0,2.0,2.0,10.0,2.0,2.0,0.940854034,0.334072637,0.353699464,0.687708014,0.985521514645,0.16955041779,0.172041315456,0.00925925925926
113,115,10.0,3.0,0.0,13,180.0,38.9424,10.0,2.0,2.0,2.0,2.0,2.0,0.93761761,0.359002713,0.33839855,0.648101877,0.321684647995,0.946846865784,2.94340084827,0.0216049382716
114,116,7.0,2.0,0.0,9,180.0,60.0,10.0,2.0,2.0,2.0,2.0,2.0,0.902914175,0.349549792,0.335770958,0.629868955,-0.952412980415,-0.304810621102,0.32004038938,0.0216049382716
115,117,5.0,6.0,1.0,12,180.0,31.5863,5.0,5.0,2.0,5.0,5.0,2.0,1.191292353,0.453644077,0.435907833,0.839723801,0.985521514645,0.16955041779,0.172041315456,0.0185185185185
116,118,10.0,3.0,0.0,13,180.0,38.9424,5.0,5.0,2.0,2.0,1.0,1.0,1.08240752,0.412419728,0.396638156,0.742230539,0.321684647995,0.946846865784,2.94340084827,0.0524691358025
117,119,7.0,2.0,0.0,9,180.0,60.0,5.0,5.0,2.0,2.0,1.0,1.0,0.409679983,0.183626996,0.158344438,0.280479381,-0.952412980415,-0.304810621102,0.32004038938,0.0524691358025
118,120,14.0,2.0,1.0,17,180.0,35.4309,10.0,2.0,2.0,10.0,2.0,2.0,1.279877438,0.503696492,0.472886379,0.929093959,-0.642238815716,-0.766504601152,1.19348843825,0.00925925925926
119,121,11.0,1.0,1.0,13,180.0,38.9424,10.0,2.0,2.0,10.0,2.0,2.0,1.342603176,0.504593719,0.494019265,0.967610607,0.321684647995,0.946846865784,2.94340084827,0.00925925925926
120,122,16.0,2.0,0.0,18,180.0,35.4309,7.0,2.0,1.0,5.0,5.0,2.0,1.31033507,0.498970032,0.476010649,0.936592208,-0.642238815716,-0.766504601152,1.19348843825,0.0161179698217
121,123,12.0,1.0,0.0,13,180.0,38.9424,7.0,2.0,1.0,5.0,5.0,2.0,1.111983948,0.430941044,0.408173924,0.784928903,0.321684647995,0.946846865784,2.94340084827,0.0161179698217
122,124,7.0,9.0,1.0,17,180.0,35.4309,7.0,2.0,1.0,7.0,2.0,1.0,1.20704188,0.454445172,0.455758967,0.889856326,-0.642238815716,-0.766504601152,1.19348843825,0.0185185185185
123,125,11.0,2.0,0.0,13,180.0,31.5863,7.0,2.0,1.0,7.0,2.0,1.0,1.309101383,0.520679706,0.482835978,0.930984543,0.985521514645,0.16955041779,0.172041315456,0.0185185185185
124,126,11.0,2.0,0.0,13,180.0,38.9424,7.0,2.0,1.0,7.0,2.0,1.0,1.332365182,0.507365507,0.490318206,0.965623891,0.321684647995,0.946846865784,2.94340084827,0.0185185185185
125,127,7.0,2.0,0.0,9,180.0,60.0,7.0,2.0,1.0,2.0,1.0,1.0,0.900286583,0.364017568,0.325420811,0.617403917,-0.952412980415,-0.304810621102,0.32004038938,0.0524691358025
126,128,12.0,4.0,0.0,16,180.0,38.9424,7.0,2.0,1.0,2.0,1.0,1.0,1.281735978,0.484630431,0.468288093,0.915603519,0.321684647995,0.946846865784,2.94340084827,0.0524691358025
127,129,11.0,1.0,1.0,13,180.0,31.5863,4.0,1.0,1.0,4.0,1.0,1.0,1.355228433,0.535740292,0.49001379,0.96072119,0.985521514645,0.16955041779,0.172041315456,0.0555555555556
128,130,14.0,2.0,1.0,17,180.0,35.4309,4.0,1.0,1.0,4.0,1.0,1.0,1.347714162,0.525934889,0.492721491,0.973586775,-0.642238815716,-0.766504601152,1.19348843825,0.0555555555556
129,131,16.0,1.0,0.0,17,180.0,35.4309,4.0,1.0,1.0,1.0,1.0,0.0,1.325491787,0.514511275,0.489276782,0.95903889,-0.642238815716,-0.766504601152,1.19348843825,0.138888888889
130,132,8.0,2.0,2.0,12,180.0,31.5863,1.0,1.0,0.0,1.0,1.0,0.0,1.296363973,0.533128723,0.478413934,0.921980236,0.985521514645,0.16955041779,0.172041315456,0.5
131,133,7.0,9.0,1.0,17,180.0,35.0968,10.0,3.0,1.0,10.0,3.0,1.0,1.256213091,0.46876875,0.473270904,0.928212755,-0.858078220715,-0.513519003675,0.598452438575,0.00909090909091
132,134,11.0,3.0,0.0,14,180.0,50.4788,10.0,3.0,1.0,10.0,3.0,1.0,1.256533529,0.459011413,0.45830645,0.913905198,0.97733395926,0.211703405919,0.216613168829,0.00909090909091
