,GB Indices,mixed,tilt,twist,count,max_theta,min_theta,h1,k1,l1,h2,k2,l2,ni1,al,au1,mishin cu,cos_min_theta,sin_min_theta,tan_min_theta,dot_hkl
290,294,10.0,2.0,0.0,12,180.0,36.8699,10.0,9.0,3.0,10.0,9.0,3.0,1.036344558,0.369416948,0.375152789,0.752196161,0.675457156116,-0.737399233965,-1.09170393309,0.00526315789474
291,295,13.0,3.0,1.0,17,180.0,25.8419,6.0,6.0,2.0,6.0,6.0,2.0,1.213306443,0.470931707,0.447043054,0.847414313,0.75890994888,0.651195584668,0.858067002058,0.0131578947368
292,296,10.0,1.0,1.0,12,180.0,36.8699,6.0,6.0,2.0,6.0,6.0,2.0,1.061771313,0.384125053,0.383468155,0.768490434,0.675457156116,-0.737399233965,-1.09170393309,0.0131578947368
293,297,14.0,2.0,1.0,17,180.0,25.8419,3.0,1.0,0.0,3.0,1.0,0.0,1.182095782,0.470531159,0.437702286,0.844706612,0.75890994888,0.651195584668,0.858067002058,0.1
294,298,11.0,1.0,1.0,13,180.0,26.5254,3.0,1.0,0.0,3.0,1.0,0.0,1.16192421,0.474728897,0.419966043,0.816636243,0.177196909724,0.984175418909,5.55413421398,0.1
295,299,5.0,7.0,1.0,13,180.0,42.075,13.0,5.0,0.0,13.0,5.0,0.0,1.331067408,0.496486637,0.498120871,0.97834528,-0.330186192221,-0.943915821706,2.85873802098,0.00515463917526
296,300,4.0,2.0,4.0,10,180.0,42.075,2.0,0.0,0.0,2.0,0.0,0.0,0.982591083,0.338943295,0.374255562,0.743976927,-0.330186192221,-0.943915821706,2.85873802098,0.25
297,301,10.0,3.0,0.0,13,180.0,38.2132,12.0,6.0,4.0,2.0,0.0,0.0,1.088399711,0.413493195,0.389252061,0.781083647,0.870741474923,0.491741073991,0.564738315738,0.030612244898
298,302,7.0,9.0,1.0,17,180.0,49.2272,12.0,6.0,4.0,12.0,6.0,4.0,1.052767005,0.396285675,0.38899571,0.757899958,0.507700725809,-0.861533500807,-1.69693178877,0.00510204081633
299,303,10.0,1.0,0.0,11,180.0,43.5736,12.0,6.0,4.0,12.0,6.0,4.0,1.066593905,0.398464653,0.380007424,0.762610396,0.917639372362,-0.397414119391,-0.433083116702,0.00510204081633
300,304,15.0,2.0,0.0,17,180.0,43.5736,12.0,6.0,4.0,12.0,6.0,4.0,1.220564364,0.440057505,0.454957872,0.888927056,0.917639372362,-0.397414119391,-0.433083116702,0.00510204081633
301,305,1.0,0.0,1.0,2,180.0,90.0,12.0,6.0,4.0,12.0,6.0,4.0,1.347634053,0.511899705,0.499835214,0.982799368,-0.448073616129,0.893996663601,-1.99520041221,0.00510204081633
302,306,9.0,1.0,0.0,10,180.0,49.2272,12.0,6.0,4.0,12.0,6.0,4.0,1.096843252,0.454060646,0.407501005,0.772656128,0.507700725809,-0.861533500807,-1.69693178877,0.00510204081633
303,308,7.0,3.0,0.0,10,180.0,38.2132,8.0,5.0,3.0,1.0,1.0,0.0,1.217247831,0.434033271,0.436789038,0.874427236,0.870741474923,0.491741073991,0.564738315738,0.0663265306122
304,309,7.0,9.0,1.0,17,180.0,43.5736,8.0,5.0,3.0,8.0,5.0,3.0,1.217103634,0.450567872,0.443390061,0.878480777,0.917639372362,-0.397414119391,-0.433083116702,0.0102040816327
305,310,16.0,1.0,0.0,17,180.0,49.2272,8.0,5.0,3.0,8.0,5.0,3.0,1.084025732,0.440409987,0.39599728,0.762081674,0.507700725809,-0.861533500807,-1.69693178877,0.0102040816327
306,311,16.0,1.0,0.0,17,180.0,43.5736,8.0,5.0,3.0,8.0,5.0,3.0,1.341353468,0.508102515,0.490670688,0.969437103,0.917639372362,-0.397414119391,-0.433083116702,0.0102040816327
307,312,10.0,3.0,0.0,13,180.0,38.2132,9.0,4.0,1.0,1.0,1.0,0.0,0.910220161,0.361133626,0.319620883,0.641645051,0.870741474923,0.491741073991,0.564738315738,0.0663265306122
308,313,17.0,1.0,0.0,18,180.0,43.5736,9.0,4.0,1.0,8.0,5.0,3.0,1.359153799,0.516562078,0.500972769,0.988038529,0.917639372362,-0.397414119391,-0.433083116702,0.00989171178676
309,314,17.0,1.0,0.0,18,180.0,49.2272,9.0,4.0,1.0,8.0,5.0,3.0,1.228158745,0.466557728,0.444046959,0.876253733,0.507700725809,-0.861533500807,-1.69693178877,0.00989171178676
310,317,7.0,9.0,1.0,17,180.0,43.5736,9.0,4.0,1.0,9.0,4.0,1.0,1.291076746,0.456383822,0.486088424,0.954424583,0.917639372362,-0.397414119391,-0.433083116702,0.0102040816327
311,318,15.0,2.0,0.0,17,180.0,49.2272,9.0,4.0,1.0,9.0,4.0,1.0,1.389595409,0.537118176,0.503488208,0.995937326,0.507700725809,-0.861533500807,-1.69693178877,0.0102040816327
312,319,10.0,1.0,0.0,11,180.0,43.5736,9.0,4.0,1.0,9.0,4.0,1.0,0.918599615,0.382907388,0.328673257,0.640459431,0.917639372362,-0.397414119391,-0.433083116702,0.0102040816327
313,320,7.0,1.0,0.0,8,180.0,60.0,13.0,5.0,2.0,3.0,3.0,2.0,0.95009867,0.373550599,0.347162529,0.64534611,-0.952412980415,-0.304810621102,0.32004038938,0.0133149678604
314,321,16.0,4.0,0.0,20,180.0,33.5573,13.0,5.0,2.0,3.0,3.0,2.0,1.342779417,0.500620287,0.48926076,0.974083454,-0.540117851296,0.841589393179,-1.55815881878,0.0133149678604
315,322,7.0,9.0,1.0,17,180.0,45.0029,13.0,5.0,2.0,13.0,5.0,2.0,1.244020426,0.449494405,0.471508495,0.923838776,0.522852163078,0.85242337812,1.63033346386,0.00505050505051
316,323,11.0,2.0,0.0,13,180.0,50.4788,13.0,5.0,2.0,13.0,5.0,2.0,1.246792214,0.456816413,0.45502196,0.904884868,0.97733395926,0.211703405919,0.216613168829,0.00505050505051
317,324,11.0,2.0,0.0,13,180.0,38.9424,13.0,5.0,2.0,13.0,5.0,2.0,1.337476168,0.481954774,0.486953607,0.951156115,0.321684647995,0.946846865784,2.94340084827,0.00505050505051
318,325,14.0,2.0,1.0,17,180.0,45.0029,6.0,2.0,2.0,6.0,2.0,2.0,1.317144377,0.500379959,0.485655833,0.958878671,0.522852163078,0.85242337812,1.63033346386,0.0227272727273
319,326,11.0,1.0,1.0,13,180.0,38.9424,6.0,2.0,2.0,6.0,2.0,2.0,1.305897003,0.506099777,0.479903971,0.945868888,0.321684647995,0.946846865784,2.94340084827,0.0227272727273
320,327,14.0,2.0,1.0,17,180.0,45.0029,4.0,1.0,1.0,4.0,1.0,1.0,1.3315,0.506115799,0.489629264,0.961714548,0.522852163078,0.85242337812,1.63033346386,0.0555555555556
321,328,11.0,1.0,1.0,13,180.0,50.4788,4.0,1.0,1.0,4.0,1.0,1.0,1.265666012,0.47011459,0.46008488,0.912719577,0.97733395926,0.211703405919,0.216613168829,0.0555555555556
322,329,16.0,1.0,0.0,17,180.0,33.5573,4.0,1.0,1.0,1.0,1.0,0.0,1.307210799,0.518196312,0.477100138,0.938498814,-0.540117851296,0.841589393179,-1.55815881878,0.138888888889
323,330,5.0,7.0,1.0,13,180.0,11.4212,11.0,9.0,0.0,11.0,9.0,0.0,0.782157114,0.327535702,0.298199603,0.538752409,0.412890749256,-0.910780560387,-2.20586332348,0.0049504950495
324,331,4.0,2.0,4.0,10,180.0,11.4212,2.0,0.0,0.0,2.0,0.0,0.0,0.701310607,0.281472739,0.254091312,0.482659738,0.412890749256,-0.910780560387,-2.20586332348,0.25
325,332,5.0,6.0,1.0,12,180.0,16.0989,10.0,10.0,2.0,10.0,10.0,2.0,0.996001414,0.37524892,0.379831183,0.727298129,-0.924552519447,-0.381054640156,0.412150345319,0.00490196078431
326,333,7.0,2.0,0.0,9,180.0,60.0,14.0,2.0,2.0,10.0,10.0,2.0,0.704306702,0.287416864,0.263848649,0.49187233,-0.952412980415,-0.304810621102,0.32004038938,0.00394079200308
327,334,10.0,3.0,0.0,13,180.0,61.9275,14.0,2.0,2.0,10.0,10.0,2.0,0.841918801,0.29539577,0.308277378,0.594300337,0.618194211255,-0.786025392192,-1.27148617357,0.00394079200308
328,335,5.0,6.0,1.0,12,180.0,22.8435,14.0,2.0,2.0,14.0,2.0,2.0,0.982318711,0.348316106,0.372541219,0.666543084,-0.658214743495,-0.752830227506,1.14374561638,0.00490196078431
329,336,5.0,6.0,1.0,12,180.0,22.8435,7.0,7.0,2.0,7.0,7.0,2.0,1.153720997,0.430075862,0.431149329,0.823349419,-0.658214743495,-0.752830227506,1.14374561638,0.00980392156863
330,337,7.0,2.0,0.0,9,180.0,60.0,10.0,1.0,1.0,7.0,7.0,2.0,0.740051561,0.296645479,0.27565679,0.513389742,-0.952412980415,-0.304810621102,0.32004038938,0.00759323337178
331,338,10.0,3.0,0.0,13,180.0,61.9275,10.0,1.0,1.0,7.0,7.0,2.0,0.940469508,0.336956579,0.342692419,0.655423885,0.618194211255,-0.786025392192,-1.27148617357,0.00759323337178
